date,open,high,low,close,adj close,first_diff,pc_change,year,month,day,day_of_week
2000-01-27,1404.089966,1418.859985,1370.98999,1398.560059,1398.560059,-5.529907000000094,-0.39384278314827936,2000,1,27,3
2000-01-28,1398.560059,1398.560059,1356.199951,1360.160034,1360.160034,-38.400024999999914,-2.7456829438884944,2000,1,28,4
2000-01-31,1360.160034,1394.47998,1350.140015,1394.459961,1394.459961,34.299927000000025,2.521756715577772,2000,1,31,0
2000-02-01,1394.459961,1412.48999,1384.790039,1409.280029,1409.280029,14.820067999999992,1.0627818951052692,2000,2,1,1
2000-02-02,1409.280029,1420.609985,1403.48999,1409.119995,1409.119995,-0.160033999999996,-0.01135572751382874,2000,2,2,2
2000-02-03,1409.119995,1425.780029,1398.52002,1424.969971,1424.969971,15.84997599999997,1.124813788480794,2000,2,3,3
2000-02-04,1424.969971,1435.910034,1420.630005,1424.369995,1424.369995,-0.5999759999999696,-0.04210446621404351,2000,2,4,4
2000-02-07,1424.369995,1427.150024,1413.329956,1424.23999,1424.23999,-0.13000499999998283,-0.0091271931068726,2000,2,7,0
2000-02-08,1424.23999,1441.829956,1424.23999,1441.719971,1441.719971,17.479980999999952,1.2273199125661272,2000,2,8,1
2000-02-09,1441.719971,1444.550049,1411.650024,1411.709961,1411.709961,-30.010009999999966,-2.0815422275925477,2000,2,9,2
2000-02-10,1411.699951,1422.099976,1406.430054,1416.829956,1416.829956,5.119995000000017,0.3626803763836284,2000,2,10,3
2000-02-11,1416.829956,1416.829956,1378.890015,1387.119995,1387.119995,-29.70996100000002,-2.0969320188484186,2000,2,11,4
2000-02-14,1387.119995,1394.930054,1380.530029,1389.939941,1389.939941,2.8199460000000727,0.2032950292811586,2000,2,14,0
2000-02-15,1389.939941,1407.719971,1376.25,1402.050049,1402.050049,12.110107999999855,0.8712684370583146,2000,2,15,1
2000-02-16,1402.050049,1404.550049,1385.579956,1387.670044,1387.670044,-14.380004999999983,-1.025641346416728,2000,2,16,2
2000-02-17,1387.670044,1399.880005,1380.069946,1388.26001,1388.26001,0.589966000000004,0.04251486169575269,2000,2,17,3
2000-02-18,1388.26001,1388.589966,1345.319946,1346.089966,1346.089966,-42.17004399999996,-3.037618579822088,2000,2,18,4
2000-02-22,1346.089966,1358.109985,1331.880005,1352.170044,1352.170044,6.080077999999958,0.4516843712955687,2000,2,22,1
2000-02-23,1352.170044,1370.109985,1342.439941,1360.689941,1360.689941,8.519897000000128,0.6300906485693591,2000,2,23,2
2000-02-24,1360.689941,1364.800049,1329.880005,1353.430054,1353.430054,-7.2598870000001625,-0.5335445483388157,2000,2,24,3
2000-02-25,1353.430054,1362.140015,1329.150024,1333.359985,1333.359985,-20.070068999999876,-1.4829040437430607,2000,2,25,4
2000-02-28,1333.359985,1360.819946,1325.069946,1348.050049,1348.050049,14.690063999999893,1.1017327777389285,2000,2,28,0
2000-02-29,1348.050049,1369.630005,1348.050049,1366.420044,1366.420044,18.369995000000017,1.362708677888258,2000,2,29,1
2000-03-01,1366.420044,1383.459961,1366.420044,1379.189941,1379.189941,12.769897000000128,0.9345513523512095,2000,3,1,2
2000-03-02,1379.189941,1386.560059,1370.349976,1381.76001,1381.76001,2.570068999999876,0.1863462691829465,2000,3,2,3
2000-03-03,1381.76001,1410.880005,1381.76001,1409.170044,1409.170044,27.410033999999996,1.9837043916186348,2000,3,3,4
2000-03-06,1409.170044,1409.73999,1384.75,1391.280029,1391.280029,-17.89001499999995,-1.2695426698979717,2000,3,6,0
2000-03-07,1391.280029,1399.209961,1349.98999,1355.619995,1355.619995,-35.660033999999996,-2.5631097447457174,2000,3,7,1
2000-03-08,1355.619995,1373.790039,1346.619995,1366.699951,1366.699951,11.079956000000038,0.8173349493860282,2000,3,8,2
2000-03-09,1366.699951,1401.819946,1357.880005,1401.689941,1401.689941,34.989990000000034,2.560180819088953,2000,3,9,3
2000-03-10,1401.689941,1413.459961,1392.069946,1395.069946,1395.069946,-6.619995000000017,-0.4722866881157195,2000,3,10,4
2000-03-13,1395.069946,1398.390015,1364.839966,1383.619995,1383.619995,-11.449951000000056,-0.8207438654118993,2000,3,13,0
