date,open,high,low,close,first_diff,pc_change,year,month,day_of_week,day
2000-04-17,4797.95,4899.54,4797.95,4880.71,-291.4200000000001,-5.63442914234561,2000,4,0,17
2000-04-18,4973.25,4981.42,4723.19,4745.47,-135.23999999999978,-2.7709083309600424,2000,4,1,18
2000-04-19,4884.81,4901.5,4571.12,4665.81,-79.65999999999985,-1.6786535369520794,2000,4,2,19
2000-04-20,4561.07,4698.34,4431.74,4657.42,-8.390000000000327,-0.17981872386574338,2000,4,3,20
2000-04-24,4723.27,4723.27,4509.09,4511.05,-146.3699999999999,-3.142727089246833,2000,4,0,24
2000-04-25,4336.64,4552.48,4284.17,4533.99,22.9399999999996,0.5085290564280864,2000,4,1,25
2000-04-26,4692.78,4803.27,4644.12,4792.95,258.96000000000004,5.711525609893275,2000,4,2,26
2000-04-27,4761.9,4799.26,4637.03,4679.63,-113.31999999999971,-2.364305907635167,2000,4,3,27
2000-04-28,4767.89,4767.89,4625.0,4657.55,-22.079999999999927,-0.4718321747659515,2000,4,4,28
2000-05-02,4736.02,4737.68,4344.51,4372.22,-285.3299999999999,-6.126182220266019,2000,5,1,2
2000-05-03,4200.74,4394.58,4109.66,4335.29,-36.93000000000029,-0.8446510010932773,2000,5,2,3
2000-05-04,4384.53,4568.54,4335.04,4553.92,218.6300000000001,5.043030570042606,2000,5,3,4
2000-05-05,4600.64,4731.94,4590.13,4693.88,139.96000000000004,3.073396107090165,2000,5,4,5
2000-05-08,4744.83,4757.89,4463.4,4463.4,-230.48000000000047,-4.910223525100776,2000,5,0,8
2000-05-09,4365.26,4578.49,4351.14,4578.49,115.09000000000015,2.5785275798718477,2000,5,1,9
2000-05-10,4593.38,4593.38,4449.89,4458.4,-120.09000000000015,-2.622917162645333,2000,5,2,10
2000-05-11,4324.19,4352.56,4198.17,4251.36,-207.03999999999996,-4.643818410192003,2000,5,3,11
2000-05-12,4243.54,4267.87,4102.77,4107.14,-144.21999999999935,-3.392326220315367,2000,5,4,12
2000-05-15,4024.66,4249.45,3912.95,4212.53,105.38999999999942,2.566019176361145,2000,5,0,15
2000-05-16,4239.44,4247.19,4154.07,4230.13,17.600000000000364,0.4178011788640079,2000,5,1,16
2000-05-17,4306.01,4367.22,4195.19,4234.23,4.099999999999454,0.09692373520433506,2000,5,2,17
2000-05-18,4205.48,4254.35,4159.9,4192.44,-41.789999999999964,-0.9869563061052467,2000,5,3,18
2000-05-19,4149.39,4150.77,4026.64,4068.65,-123.78999999999951,-2.9526958048296303,2000,5,4,19
2000-05-22,3978.54,4015.38,3920.18,3920.18,-148.47000000000025,-3.6491219446253775,2000,5,0,22
2000-05-23,3878.82,3943.54,3831.86,3943.54,23.360000000000127,0.5958910050048782,2000,5,1,23
2000-05-24,3872.7,3981.46,3840.11,3933.65,-9.889999999999873,-0.25078989943045915,2000,5,2,24
2000-05-25,3962.98,4060.76,3961.02,3999.03,65.38000000000011,1.6620695791440543,2000,5,3,25
2000-05-26,3994.4,4097.6,3947.33,4084.71,85.67999999999984,2.142519560993539,2000,5,4,26
2000-05-29,4082.91,4222.65,4064.46,4189.85,105.14000000000033,2.57398934073656,2000,5,0,29
2000-05-30,4207.01,4318.65,4185.36,4311.77,121.92000000000007,2.9098893755146404,2000,5,1,30
2000-05-31,4434.99,4536.1,4416.88,4433.61,121.83999999999924,2.8257536927990046,2000,5,2,31
2000-06-01,4406.52,4412.2,4321.26,4325.47,-108.13999999999942,-2.4390959060449524,2000,6,3,1
2000-06-02,4381.7,4486.99,4381.7,4453.47,128.0,2.959215992712938,2000,6,4,2
2000-06-05,4609.78,4705.49,4485.29,4531.53,78.05999999999949,1.7527905206501826,2000,6,0,5
2000-06-06,4555.18,4605.46,4488.23,4591.68,60.150000000000546,1.3273662537818476,2000,6,1,6
2000-06-07,4580.89,4650.88,4556.52,4604.84,13.159999999999854,0.286605338351098,2000,6,2,7
2000-06-08,4656.0,4746.88,4656.0,4728.81,123.97000000000025,2.692167371721932,2000,6,3,8
2000-06-09,4772.0,4797.59,4712.21,4729.63,0.819999999999709,0.017340514844099708,2000,6,4,9
2000-06-12,4794.67,4800.13,4638.81,4639.46,-90.17000000000007,-1.9064916283091926,2000,6,0,12
2000-06-13,4583.34,4640.59,4555.09,4615.13,-24.329999999999927,-0.5244144792712957,2000,6,1,13
2000-06-14,4648.78,4693.67,4604.5,4625.04,9.909999999999854,0.21472851252293257,2000,6,2,14
2000-06-15,4609.98,4685.63,4575.03,4653.22,28.18000000000029,0.6092920277446234,2000,6,3,15
2000-06-16,4666.06,4768.59,4654.12,4764.67,111.44999999999982,2.3951156403522633,2000,6,4,16
2000-06-19,4808.25,4884.89,4788.94,4837.24,72.56999999999971,1.5230855442244673,2000,6,0,19
2000-06-20,4891.23,4919.63,4834.79,4863.9,26.659999999999854,0.55114073314535,2000,6,1,20
2000-06-21,4888.43,4888.43,4723.57,4731.57,-132.32999999999993,-2.7206562634922604,2000,6,2,21
2000-06-22,4749.4,4795.1,4693.46,4794.16,62.590000000000146,1.3228167394754742,2000,6,3,22
2000-06-23,4771.07,4822.63,4687.31,4721.7,-72.46000000000004,-1.5114222303802993,2000,6,4,23
2000-06-26,4674.21,4697.63,4607.58,4670.09,-51.60999999999967,-1.0930385242603258,2000,6,0,26
2000-06-27,4682.59,4732.7,4677.57,4686.91,16.81999999999971,0.3601643651407027,2000,6,1,27
2000-06-28,4660.28,4748.8,4642.56,4748.8,61.89000000000033,1.3204862051970245,2000,6,2,28
2000-06-29,4820.58,4849.97,4785.63,4792.74,43.9399999999996,0.9252863881401563,2000,6,3,29
2000-06-30,4760.6,4792.69,4694.88,4748.77,-43.969999999999345,-0.9174292784503102,2000,6,4,30
2000-07-03,4846.69,4853.83,4778.74,4844.98,96.20999999999913,2.025998311141608,2000,7,0,3
2000-07-04,4870.86,4902.71,4840.39,4887.06,42.08000000000084,0.8685278370602401,2000,7,1,4
2000-07-05,4898.15,4940.38,4881.15,4912.11,25.049999999999272,0.5125781144491581,2000,7,2,5
2000-07-06,4862.99,4908.34,4846.64,4885.6,-26.50999999999931,-0.5396866112525878,2000,7,3,6
2000-07-07,4920.14,4924.22,4900.31,4905.94,20.339999999999236,0.4163255280825062,2000,7,4,7
2000-07-10,4908.74,4920.38,4847.45,4867.43,-38.50999999999931,-0.7849667953541917,2000,7,0,10
2000-07-11,4887.76,4919.31,4863.96,4898.07,30.639999999999418,0.6294903059725465,2000,7,1,11
2000-07-12,4883.65,4967.14,4862.49,4964.28,66.21000000000004,1.3517569164997578,2000,7,2,12
2000-07-13,4994.92,5058.9,4878.45,4880.8,-83.47999999999956,-1.6816134464615162,2000,7,3,13
2000-07-14,4891.43,4951.95,4847.51,4856.82,-23.980000000000473,-0.49131289952467627,2000,7,4,14
2000-07-17,4874.41,4883.3,4747.32,4747.32,-109.5,-2.254561626743423,2000,7,0,17
2000-07-18,4741.15,4777.5,4704.4,4734.8,-12.519999999999527,-0.2637277453384157,2000,7,1,18
2000-07-19,4672.19,4721.85,4604.54,4616.01,-118.78999999999996,-2.5088704908338255,2000,7,2,19
2000-07-20,4592.28,4634.46,4538.95,4575.67,-40.340000000000146,-0.8739149178619621,2000,7,3,20
2000-07-21,4601.08,4606.21,4460.42,4463.66,-112.01000000000022,-2.447947513697457,2000,7,4,21
2000-07-24,4347.52,4353.44,4188.34,4188.34,-275.3199999999997,-6.1680325114367935,2000,7,0,24
2000-07-25,4097.22,4369.14,4052.61,4336.2,147.85999999999967,3.5302769116165367,2000,7,1,25
2000-07-26,4361.88,4374.38,4191.27,4191.27,-144.92999999999938,-3.3423273834232603,2000,7,2,26
2000-07-27,4149.84,4287.86,4113.42,4281.13,89.85999999999967,2.1439802255640794,2000,7,3,27
2000-07-28,4275.34,4348.88,4244.73,4276.7,-4.430000000000291,-0.10347735294187199,2000,7,4,28
2000-07-31,4232.54,4301.71,4225.57,4279.86,3.1599999999998545,0.07388874599574269,2000,7,0,31
2000-08-01,4295.35,4302.86,4239.82,4253.69,-26.170000000000073,-0.6114685994401681,2000,8,1,1
2000-08-02,4224.01,4264.17,4193.58,4260.88,7.190000000000509,0.16902971302563685,2000,8,2,2
2000-08-03,4232.21,4279.51,4204.41,4207.63,-53.25,-1.2497418373669245,2000,8,3,3
2000-08-04,4241.23,4266.21,4155.45,4186.16,-21.470000000000255,-0.5102634975033493,2000,8,4,4
2000-08-07,4203.77,4232.8,4159.35,4201.25,15.090000000000146,0.36047356049457857,2000,8,0,7
2000-08-08,4217.68,4327.0,4200.99,4317.22,115.97000000000025,2.7603689378161267,2000,8,1,8
