date,open,high,low,close,first_diff,pc_change,month,year
2008-03-04,38.08,51.07,30.59,38.08,0.0,0.0,3,2008
2008-03-05,38.08,38.76,27.95,35.51,-2.5700000000000003,-6.7489495798319314,3,2008
2008-03-07,36.95,39.34,27.05,35.2,-0.30999999999999517,-0.8729935229512709,3,2008
2008-03-10,25.33,47.95,25.33,32.58,-2.6200000000000045,-7.4431818181818326,3,2008
2008-03-11,30.72,37.54,29.75,32.69,0.10999999999999943,0.3376304481276904,3,2008
2008-03-12,31.19,34.06,24.06,32.36,-0.3299999999999983,-1.0094830223309814,3,2008
2008-03-13,37.83,37.83,25.28,34.15,1.7899999999999991,5.531520395550049,3,2008
2008-03-14,36.32,37.82,29.07,31.11,-3.039999999999999,-8.901903367496333,3,2008
2008-03-17,33.45,38.55,28.23,33.43,2.3200000000000003,7.457409193185471,3,2008
2008-03-18,31.78,49.03,31.78,37.84,4.410000000000004,13.19174394256657,3,2008
2008-03-19,37.84,41.84,30.04,35.49,-2.3500000000000014,-6.210359408033828,3,2008
2008-03-24,35.49,39.04,29.63,35.21,-0.28000000000000114,-0.7889546351084853,3,2008
2008-03-25,35.21,36.02,30.46,33.3,-1.9100000000000037,-5.424595285430289,3,2008
2008-03-26,33.3,45.81,28.08,37.18,3.8800000000000026,11.651651651651651,3,2008
2008-03-27,37.18,39.41,27.4,37.28,0.10000000000000142,0.2689618074233513,3,2008
2008-03-28,46.15,46.15,28.43,33.07,-4.210000000000001,-11.292918454935618,3,2008
2008-03-31,33.07,37.92,28.57,35.14,2.0700000000000003,6.259449652252802,3,2008
2008-04-01,31.24,38.38,28.59,35.1,-0.03999999999999915,-0.11383039271485318,4,2008
2008-04-02,35.1,38.41,27.63,33.62,-1.480000000000004,-4.216524216524231,4,2008
2008-04-03,33.62,37.23,30.28,36.68,3.0600000000000023,9.10172516359311,4,2008
2008-04-04,36.68,37.23,30.33,36.93,0.25,0.68157033805889,4,2008
2008-04-07,36.93,36.93,22.49,30.99,-5.940000000000001,-16.084484159220146,4,2008
2008-04-08,30.99,33.71,26.77,31.4,0.41000000000000014,1.3230074217489562,4,2008
2008-04-09,31.4,39.36,28.37,38.24,6.840000000000003,21.78343949044588,4,2008
2008-04-10,38.24,38.24,28.45,30.52,-7.720000000000002,-20.18828451882846,4,2008
2008-04-11,30.52,34.76,21.34,33.83,3.3099999999999987,10.845347313237209,4,2008
2008-04-15,23.97,42.42,23.97,30.23,-3.599999999999998,-10.6414425066509,4,2008
2008-04-16,30.23,31.87,24.01,27.94,-2.289999999999999,-7.575256367846506,4,2008
